building,floor,room_number,room_label,room_type,room_type_label,capacity,corridor_relationship,cell,row,column,source_text,source_kind,unavailable,unavailable_reason
휴락동,4,407,407호,twin,2인실,2,north_of_corridor,D3,3,4,407호(침대2),explicit,False,
휴락동,4,406,406호,twin,2인실,2,north_of_corridor,E3,3,5,406호(침대2),explicit,False,
휴락동,4,405,405호,twin,2인실,2,north_of_corridor,F3,3,6,405호(침대2),explicit,False,
휴락동,4,404,404호,twin,2인실,2,north_of_corridor,G3,3,7,404호(침대2),explicit,False,
휴락동,4,403,403호,twin,2인실,2,north_of_corridor,H3,3,8,403호(침대2),explicit,False,
휴락동,4,402,402호,twin,2인실,2,north_of_corridor,I3,3,9,402호(침대2),explicit,False,
휴락동,4,401,401호,twin,2인실,2,north_of_corridor,J3,3,10,401호(침대2),explicit,False,
휴락동,4,425,425호,twin,2인실,2,north_of_corridor,N3,3,14,425호(침대2),explicit,False,
휴락동,4,424,424호,single,1인실,1,north_of_corridor,O3,3,15,424호(침대1),explicit,False,
휴락동,4,423,423호,single,1인실,1,north_of_corridor,P3,3,16,423호(침대1),explicit,False,
휴락동,4,422,422호,single,1인실,1,north_of_corridor,Q3,3,17,422호(침대1),explicit,False,
휴락동,4,408,408호,ondol_4,4인실 온돌,4,south_of_corridor,D8,8,4,408호,position_override,False,
휴락동,4,409,409호,ondol_4,4인실 온돌,4,south_of_corridor,E8,8,5,409호,position_override,False,
휴락동,4,410,410호,ondol_4,4인실 온돌,4,south_of_corridor,F8,8,6,410호,position_override,False,
휴락동,4,411,411호,ondol_4,4인실 온돌,4,south_of_corridor,G8,8,7,411호,position_override,False,
휴락동,4,412,412호,ondol_4,4인실 온돌,4,south_of_corridor,H8,8,8,412호,position_override,False,
휴락동,4,413,413호,ondol_4,4인실 온돌,4,south_of_corridor,I8,8,9,413호,position_override,False,
휴락동,4,414,414호,ondol_4,4인실 온돌,4,south_of_corridor,J8,8,10,414호,position_override,False,
휴락동,4,415,415호,ondol_4,4인실 온돌,4,south_of_corridor,K8,8,11,415호,position_override,False,
휴락동,4,416,416호,ondol_4,4인실 온돌,4,south_of_corridor,L8,8,12,416호,position_override,False,
휴락동,4,417,417호,ondol_4,4인실 온돌,4,south_of_corridor,M8,8,13,417호,position_override,False,
휴락동,4,418,418호,ondol_4,4인실 온돌,4,south_of_corridor,N8,8,14,418호,position_override,False,
휴락동,4,419,419호,ondol_4,4인실 온돌,4,south_of_corridor,O8,8,15,419호,position_override,False,
휴락동,4,420,420호,ondol_4,4인실 온돌,4,south_of_corridor,P8,8,16,420호,position_override,False,
휴락동,4,421,421호,ondol_4,4인실 온돌,4,south_of_corridor,Q8,8,17,421호,position_override,False,
휴락동,3,307,307호,ondol_4,4인실 온돌,4,north_of_corridor,D13,13,4,307호,inferred,False,
